cod_municipio,nome_municipio,M2019,M2021,I_imp,M2024,I_rec,I_EAD,pct_internet_2019,pct_banda_2019,pct_urbana_2019,ICT_2019,pct_banda_2024,pct_urbana_2024,pct_estadual_2024,ICT_2024,I_ERE,cod_regiao_interm,nome_regiao_interm
3122454,Divisópolis,1857,1895,2.0463112547119007,1741,100.0,0.0,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.4761904761904762,0.5714286,0.5714285714285714,0.14285714285714285,0.5714285799435207,285.25,3103,Teófilo Otoni
3122470,Dom Bosco,819,781,-4.63980463980464,741,-105.26315789473684,0.0,0.2,0.8,0.8,0.5333333333333333,1.0,0.8,0.2,0.8666666666666667,202.66666667,3112,Patos de Minas
3122504,Dom Cavati,995,888,-10.753768844221105,845,-40.18691588785047,0.0,0.3333333333333333,1.0,1.0,0.5555555555555555,1.0,1.0,0.3333333333333333,0.7777777777777777,84.0,3105,Ipatinga
3122603,Dom Joaquim,1136,1151,1.3204225352112675,1067,100.0,0.0,0.4444444444444444,0.5555555555555556,0.5555555555555556,0.4444444444444444,1.0,0.5555555555555556,0.3333333333333333,0.9259259259259259,147.66666667,3104,Governador Valadares
3122702,Dom Silvério,974,913,-6.262833675564681,838,-122.95081967213115,0.0,0.5,1.0,1.0,0.8333333333333334,1.0,1.0,0.25,0.9166666666666666,160.0,3106,Juíz de Fora
3122801,Dom Viçoso,567,548,-3.3509700176366843,553,26.31578947368421,0.0,0.5,1.0,0.5,0.6666666666666666,1.0,0.5,0.25,0.75,123.66666667,3109,Pouso Alegre
3122900,Dona Euzébia,1198,1122,-6.3439065108514185,1179,75.0,0.0,0.4,0.8,1.0,0.5333333333333333,1.0,1.0,0.5,0.9166666666666666,108.66666667,3106,Juíz de Fora
3123007,Dores de Campos,1655,1562,-5.619335347432024,1768,221.50537634408602,0.0,0.75,1.0,0.75,0.875,1.0,0.75,0.125,0.9583333333333334,54.0,3107,Barbacena
3123106,Dores de Guanhães,1216,1188,-2.302631578947368,1131,-203.57142857142856,0.0,0.5,0.5,0.5,0.6111111111111112,0.42857143,0.5714285714285714,0.42857142857142855,0.666666668085825,146.0,3104,Governador Valadares
3123205,Dores do Indaiá,2144,2008,-6.343283582089552,1891,-86.02941176470588,0.0,0.45454545454545453,0.9090909090909091,1.0,0.6969696969696969,0.8888889,1.0,0.1111111111111111,0.9259259281335054,61.6,3113,Divinópolis
3123304,Dores do Turvo,908,853,-6.057268722466961,908,100.0,0.0,0.3333333333333333,1.0,0.8333333333333334,0.5555555555555555,1.0,1.0,0.25,0.8333333333333334,0.0,3106,Juíz de Fora
3123403,Doresópolis,294,307,4.421768707482993,263,100.0,0.0,0.6666666666666666,1.0,1.0,0.8888888888888888,1.0,1.0,0.3333333333333333,0.8888888888888888,100.0,3108,Varginha
3123502,Douradoquara,284,291,2.464788732394366,271,100.0,0.0,0.5,1.0,1.0,0.6666666666666666,1.0,1.0,0.5,1.0,,3111,Uberlândia
3123528,Durandé,1608,1430,-11.069651741293532,1449,10.674157303370785,0.0,0.25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333334,0.3333333333333333,0.16666666666666666,0.3611111144224803,71.363636364,3106,Juíz de Fora
3123601,Elói Mendes,5185,5107,-1.5043394406943107,5011,-123.07692307692308,0.0,0.3,0.95,0.8,0.6,0.95,0.8,0.2,0.7499999960263569,110.33333333,3108,Varginha
3123700,Engenheiro Caldas,2081,2025,-2.691013935607881,1891,-239.28571428571428,0.0,0.3333333333333333,0.6666666666666666,1.0,0.5555555555555555,0.6666667,1.0,0.16666666666666666,0.6666666732894049,68.0,3104,Governador Valadares
3123809,Engenheiro Navarro,1253,1395,11.332801276935355,1352,100.0,0.0,0.4,1.0,0.8,0.6,1.0,0.75,0.25,0.75,251.0,3102,Montes Claros
3123858,Entre Folhas,1113,1072,-3.6837376460017968,1142,170.73170731707316,0.0,0.25,0.75,0.75,0.4166666666666667,1.0,1.0,0.3333333333333333,0.5555555555555555,163.0,3105,Ipatinga
3123908,Entre Rios de Minas,2887,2688,-6.892968479390371,2782,47.23618090452261,0.0,0.17647058823529413,0.5294117647058824,0.7058823529411765,0.43137254901960786,0.6666667,0.7333333333333333,0.26666666666666666,0.7333333399560716,286.9,3107,Barbacena
3124005,Ervália,4222,4083,-3.292278540975841,4203,86.33093525179856,2.6940974773450894,0.5,0.7222222222222222,0.5,0.6111111111111112,0.94736844,0.5789473684210527,0.15789473684210525,0.8421052704777634,102.41666667,3106,Juíz de Fora
3124104,Esmeraldas,15513,15000,-3.3069038870624636,16129,220.07797270955166,0.0,0.36363636363636365,0.5681818181818182,0.6363636363636364,0.48484848484848486,0.75555557,0.6666666666666666,0.24444444444444444,0.6962963011529711,149.42857143,3101,Belo Horizonte
3124203,Espera Feliz,5543,5414,-2.3272596067111673,5565,117.05426356589147,5.264130033247137,0.3870967741935484,0.4838709677419355,0.3870967741935484,0.44086021505376344,0.79310346,0.41379310344827586,0.20689655172413793,0.7126436809013631,33.9375,3106,Juíz de Fora
3124302,Espinosa,6601,6719,1.7876079381911831,6556,100.0,0.0,0.3958333333333333,0.5208333333333334,0.375,0.5,0.9285714,0.4523809523809524,0.2857142857142857,0.9206349121199713,68.657142857,3102,Montes Claros
3124401,Espírito Santo do Dourado,1146,1288,12.390924956369982,1465,100.0,0.0,0.3333333333333333,0.8333333333333334,0.5,0.6111111111111112,0.8333333,0.5,0.16666666666666666,0.722222215599484,49.75,3109,Pouso Alegre
3124500,Estiva,1904,1854,-2.6260504201680672,1932,156.0,0.0,0.25,1.0,0.625,0.7083333333333334,1.0,0.5555555555555556,0.2222222222222222,0.7777777777777777,174.71428571,3109,Pouso Alegre
3124609,Estrela Dalva,528,489,-7.386363636363637,459,-76.92307692307693,0.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.33333334,1.0,0.3333333333333333,0.6666666699780358,308.0,3106,Juíz de Fora
3124708,Estrela do Indaiá,477,417,-12.578616352201259,382,-58.333333333333336,0.0,0.5,0.75,1.0,0.5833333333333334,0.75,1.0,0.25,0.5833333333333334,95.0,3113,Divinópolis
3124807,Estrela do Sul,1205,1215,0.8298755186721992,1246,100.0,0.0,0.25,0.9166666666666666,0.75,0.5277777777777778,1.0,0.8,0.3,0.6666666666666666,170.5,3111,Uberlândia
3124906,Eugenópolis,1882,1918,1.9128586609989375,1764,100.0,0.0,0.4,1.0,0.9,0.6,0.90909094,0.9090909090909091,0.18181818181818182,0.8484848575158552,181.57142857,3106,Juíz de Fora
3125002,Ewbank da Câmara,943,976,3.4994697773064685,993,100.0,0.0,0.25,1.0,1.0,0.5,1.0,1.0,0.25,0.75,145.0,3106,Juíz de Fora
